"No.","ID","ページ","type","subtype","語句","読み","指摘元","Gemini判定","Gemini問題点","Gemini修正案","Fable判定","Fable問題分類","Fable問題点","Fable修正案","最終判定","優先度","問題分類","修正対象フィールド","修正前の語句","修正後の語句","修正前の読み","修正後の読み","修正前のsentence","修正後のsentence","修正前のhint","修正後のhint","修正前のquestion","修正後のquestion","修正前のchoices","修正後のchoices","修正前のanswerIndex","修正後のanswerIndex","修正前のexplanation","修正後のexplanation","修正理由","小学3年生向けの改善点","確信度"
"56","vocab1300_p012_002","12","meaning_context","","客観的","きゃっかんてき","Fableのみ・ユーザー確認候補","","","","要修正","meaning_error,wrong_answer_choice","正解選択肢「いろいろな見方から考えること」は「多角的・多面的」の意味に近く、「客観的」の中心的な意味（自分の気持ちや立場をはなれて、だれが見てもそうだと言えるように考えること）とずれている。このままだと誤った意味を覚えるおそれがある。","【choices】[""自分の気持ちをはなれて、だれが見てもそうだと言えるように考えるようす"", ""ねばり強くて負けにくいこと"", ""話すのがあまり上手ではないこと"", ""本人がいないところで悪く言うこと""] 【正解】自分の気持ちをはなれて、だれが見てもそうだと言えるように考えるようす 【explanation】客観的は、自分の気持ちや思いこみをはなれて、だれが見てもそうだと言えるように考えるようすです。","修正確定","高","meaning_error,wrong_answer_choice","choices,explanation","客観的","変更なし","きゃっかんてき","変更なし","けんかの話を聞くときは、どちらか一人の気持ちだけで決めず、客観的に考えることが大切です。","変更なし","","変更なし","客観的 の意味はどれ？","変更なし","[""いろいろな見方から考えること"", ""ねばり強くて負けにくいこと"", ""話すのがあまり上手ではないこと"", ""本人がいないところで悪く言うこと""]","[""自分の気持ちをはなれて、だれが見てもそうだと言えるように考えること"", ""ねばり強くて負けにくいこと"", ""話すのがあまり上手ではないこと"", ""本人がいないところで悪く言うこと""]","0","変更なし","客観的は、自分の気持ちだけでなく、広い見方で考えることです。","客観的は、自分の気持ちや思いこみをはなれて、だれが見てもそうだと言えるように考えることです。","正解選択肢「いろいろな見方から考えること」は「多角的・多面的」の定義に近く、「客観的」の中心的な意味（自分の立場をはなれて、だれが見てもそうだと言えるように考える）とずれている。例文（どちらか一人の気持ちだけで決めず）は正しい方の意味を支えているため、選択肢・解説を例文に合わせる。","「客観的＝いろいろな見方」と覚えると、後の学年で学ぶ「多角的」との区別がつかなくなる。誤概念の定着を防ぐ。","高"
"60","vocab1300_p012_006","12","meaning_context","","陰口","かげぐち","Fableのみ","","","","改善推奨","other","例文前半「その人がいないところで悪く言うのは」が正解選択肢「本人がいないところで言う悪口」とほぼ同じ内容で、文を読むだけで答えが分かる。語彙問題として弁別性が弱い。","【sentence】休み時間に友だちの陰口を言っているのを聞いて、いやな気持ちになりました。","修正確定","低","other","sentence","陰口","変更なし","かげぐち","変更なし","その人がいないところで悪く言うのは、陰口になるのでやめた方がよいです。","休み時間に友だちの陰口を言っているのを聞いて、いやな気持ちになりました。","","変更なし","陰口 の意味はどれ？","変更なし","[""本人がいないところで言う悪口"", ""ねばり強く、簡単には負けないようす"", ""一つのものが二つ以上の役目をすること"", ""自分の気持ちだけでなく、広い見方で考えること""]","変更なし","0","変更なし","陰口は、本人がいないところで言う悪口です。本人に直接伝える注意や相談とはちがいます。","変更なし","元の例文の前半「その人がいないところで悪く言うのは」が正解選択肢「本人がいないところで言う悪口」とほぼ同文で、文を読むだけで答えが分かってしまう（レビュー観点「sentenceだけで正解をそのまま言っていないか」に該当）。場面のある自然な例文に差し替える。","クイズとして考える余地が生まれ、choicesとexplanationで意味を確認する流れになる。","高"
"68","vocab1300_p015_003","15","meaning_context","","閉口する","へいこうする","Geminiのみ・ユーザー確認候補","改善推奨","「閉口する」は解説にもある通り「困り果てる（ひどく困る）」という意味を持つため、「少し」という言葉と組み合わせると意味が矛盾し、やや不自然になります。","【sentence】同じ質問を何度もされて、先生もさすがに閉口していました。

※hint、question、choices、正解選択肢、explanationは「変更なし」","","","","","修正確定","低","meaning_sentence_mismatch","sentence","閉口する","変更なし","へいこうする","変更なし","同じ質問を何度もされて、先生は少し閉口していました。","同じ質問を何度もされて、先生もさすがに閉口していました。","","変更なし","閉口する の意味はどれ？","変更なし","[""どうしてよいか分からず困りはてること"", ""ものごとの中ほど"", ""決まった形で進めること"", ""持っている力を出すこと""]","変更なし","0","変更なし","閉口するは、どうしてよいか分からず、困りはてることです。","変更なし","正解選択肢・解説が「困りはてること」なのに、例文が「少し閉口」だと程度が食い違い、小3が「少し困りはてる？」と混乱しやすい。「さすがに」に置き換えて整合させる（Gemini案採用）。","例文と選択肢の程度がそろい、意味を対応させやすくなる。","高"
"72","vocab1300_p016_001","16","meaning_context","","過ぎない","すぎない","Fableのみ","","","","改善推奨","notation_issue","この語は通常「〜に過ぎない」の形で使う連語であり、語句が「過ぎない」で切れている。単独提示だと「（時間が）過ぎない」などと誤読するおそれがあるため、問いで「〜に過ぎない」の形を示すとよい。","【question】〜に過ぎない の意味はどれ？","修正確定","低","word_unit_issue","question","過ぎない","変更なし","すぎない","変更なし","これはまだ練習に過ぎないので、失敗しても大丈夫です。","変更なし","","変更なし","過ぎない の意味はどれ？","〜に過ぎない の意味はどれ？","[""行ったり来たりすること"", ""相手の機嫌をとること"", ""〜でしかないこと"", ""ありのままであること""]","変更なし","2","変更なし","過ぎないは、『〜でしかない』『〜以上のものではない』という意味です。","変更なし","この語は通常「〜に過ぎない」の形で使う連語で、「過ぎない」単独では「（時間が）過ぎない」と誤読するおそれがある。問いで連語の形を示す（語句フィールド自体は原本の見出しを尊重して変更しない）。","「に過ぎない」というまとまりで覚えられ、誤読を防げる。","高"
"81","vocab1300_p017_004","17","meaning_context","","至急","しきゅう","Geminiのみ","改善推奨","「至急」は「至急連絡してください」のように相手に急ぎの行動を求める場面や、業務的な連絡で使われるのが自然です。「自分が至急戻った」という自身の行動に使うのは少し硬く不自然に響くため、呼び出しなどの場面への変更を推奨します。","【sentence】先生から、「至急、職員室に来てください。」と放送で呼ばれました。

※hint、question、choices、正解選択肢、explanationは「変更なし」","","","","","修正確定","低","unnatural_sentence","sentence","至急","変更なし","しきゅう","変更なし","水とうを忘れたので、至急、教室へ取りに戻りました。","先生から、「至急、職員室に来てください。」と放送で呼ばれました。","","変更なし","至急 の意味はどれ？","変更なし","[""普通と大きくちがうこと"", ""罪をなすりつけること"", ""元気よく動くこと"", ""とても急ぐこと""]","変更なし","3","変更なし","至急は、とても急ぐこと、大急ぎという意味です。","変更なし","「水とうを取りに至急戻る」は語の格（改まった急ぎの連絡・依頼）に対して場面が軽く、やや不自然。校内放送の呼び出しは「至急」の最も典型的な使用場面で、小3にも身近（Gemini案採用）。","学校放送という日常場面で、「至急」が使われる典型的な文脈を学べる。","高"
"115","vocab1300_p023_002","23","meaning_context","","根をおろす","ねをおろす","Geminiのみ・ユーザー確認候補","改善推奨","「習慣がクラスに根をおろした」という表現は日本語として正しいですが、小学3年生には「植物の根」の比喩として抽象度が高く、少し場面が想像しにくい可能性があります。","【sentence】朝の読書の時間は、今ではすっかり学校全体に根をおろしています。

【explanation】根をおろすは、新しい習慣や考え方が、その場所にしっかりと定着して当たり前になることです。

※hint、question、choices、正解選択肢は「変更なし」","","","","","修正確定","低","explanation_unclear","explanation","根をおろす","変更なし","ねをおろす","変更なし","その新しい習慣は、少しずつクラスに根をおろしました。","変更なし","","変更なし","根をおろす の意味はどれ？","変更なし","[""体を休めること"", ""苦労に感謝すること"", ""物事が定着したり受け入れられたりすること"", ""こちらへ来るように手で合図すること""]","変更なし","2","変更なし","根をおろすは、物事が定着したり、受け入れられたりすることです。","根をおろすは、木が根を張るように、新しい習慣や考え方がその場所にしっかりと受け入れられて、当たり前になることです。","元の解説は正解選択肢の繰り返し（循環説明）で、小3には難しい「定着」の言い換えがない。木の根の比喩と「当たり前になる」という言葉で具体化する（Gemini指摘を踏まえ解説のみ修正。Gemini提案のsentence差し替えは抽象度が変わらないため不採用）。","「定着」という難語を、木の根のイメージと「当たり前になる」で理解できる。","高"
"125","vocab1300_p024_006","24","meaning_context","","えてして","えてして","Gemini・Fable両方・ユーザー確認候補","改善推奨","例文は非常に自然ですが、「えてして」という言葉自体が3年生には難解であり、解説の「とかく、大体の場合において」だけでは使う場面がピンとこない可能性があります。少し解説を補うことを推奨します。","【explanation】えてしては、油断したときなどに、「どうしてもそうなってしまいやすい」という場合に使います。

※sentence、hint、question、choices、正解選択肢は「変更なし」","要確認","meaning_too_broad","正解選択肢の「とかく」は適切だが、「大体の場合において」は頻度を強く言い切りすぎている可能性がある。「えてして」は「ややもすると／〜しがち」という傾向を表す語とする辞書が多く、「大体の場合」とまでは言えないという解釈もあり得る。","【choices】[""とかく、そうなりがちであること"", ""すみずみまで"", ""試しにやってみること"", ""すぐに""] 【正解】とかく、そうなりがちであること 【explanation】えてしては、とかく、そうなりがちである、という意味です。","修正確定","中","meaning_too_broad,explanation_unclear","choices,explanation","えてして","変更なし","えてして","変更なし","急いでいるときは、えてして忘れ物をしやすいものです。","変更なし","","変更なし","えてして の意味はどれ？","変更なし","[""とかく、大体の場合において"", ""すみずみまで"", ""試しにやってみること"", ""すぐに""]","[""どうしても、そうなりがちであること"", ""すみずみまで"", ""試しにやってみること"", ""すぐに""]","0","変更なし","えてしては、とかく、大体の場合において、という意味です。","えてしては、どうしてもそうなりがちだ、という意味です。急いでいるときなど、つい失敗しやすい場面でよく使います。","主要辞書は「えてして」を「ややもすればそうなる傾向があるさま」（頻度ではなく傾向）とし、「大体の場合において」は頻度を強く言い切りすぎる。また元の解説は選択肢の繰り返し（循環説明）。Fableの選択肢修正案とGeminiの解説補足案を統合し、小3向けに「どうしても〜しがち」で表現。","「とかく」「大体の場合」という難しい言い回しを避け、「どうしてもそうなりがち」という体感できる言葉で理解できる。","中"
"137","vocab1300_p027_006","27","meaning_context","","やおら","やおら","Geminiのみ・ユーザー確認候補","要確認","「やおら」は本来「ゆっくりと動き出す」という意味ですが、現代では「急にパッと立ち上がる」と誤解されやすい言葉です。「やおら立ち上がって」だけだと3年生が「急に」だと勘違いしやすいため、ゆっくりであることが伝わる文脈を足すことを推奨します。","【sentence】校長先生は、大きく息を吸うと、やおら立ち上がって静かに話し始めました。

【explanation】やおらは、あわてずに、ゆっくりと動き出すようすです。

※hint、question、choices、正解選択肢は「変更なし」","","","","","修正確定","中","context_unclear","sentence,explanation","やおら","変更なし","やおら","変更なし","校長先生は、やおら立ち上がって話し始めました。","校長先生は、大きく息を吸うと、やおら立ち上がって静かに話し始めました。","","変更なし","やおら の意味はどれ？","変更なし","[""新しく作って"", ""じゃまになって"", ""ゆっくりと動き出して"", ""見たり聞いたりして""]","変更なし","2","変更なし","やおらは、ゆっくりと動き出すようすです。おもむろに、という意味です。","やおらは、あわてずに、ゆっくりと動き出すようすです。","「やおら」は「急に」と誤解されやすい語だが、元の例文は文脈だけでは「急に」でも成立してしまう。「大きく息を吸うと」「静かに」でゆっくりさが伝わる文脈を補う（Gemini案採用）。解説の「おもむろに」も同様に誤解されやすい語のため、言い換えから外す。","誤用の多い語について、文脈から「ゆっくり」という正しい意味を推測できるようになる。","高"
"162","vocab1300_p032_001","32","meaning_context","","晴れがましい","はれがましい","Fableのみ","","","","改善推奨","meaning_sentence_mismatch","sentenceは「晴れがましい気持ち」（ほこらしく少し照れくさい気持ち）を表すのに、正解選択肢「華やかで、注目される状態」は場面の説明になっており、「ほこらしさ」のニュアンスが欠けている。他の選択肢が「〜ようす」「〜こと」なのに対し「〜状態」で粒度も微妙にずれる。","【choices】[""もぞもぞと動くようす"", ""表立って華やかで、ほこらしいようす"", ""他の人よりも優れていること"", ""考えるときの視点""] 【正解】表立って華やかで、ほこらしいようす 【explanation】晴れがましいは、表立って華やかで、ほこらしい気持ちになるようすです。","修正確定","中","meaning_sentence_mismatch,meaning_too_narrow","choices,explanation","晴れがましい","変更なし","はれがましい","変更なし","表彰式で名前を呼ばれて、少し晴れがましい気持ちになりました。","変更なし","","変更なし","晴れがましい の意味はどれ？","変更なし","[""もぞもぞと動くようす"", ""華やかで、注目される状態"", ""他の人よりも優れていること"", ""考えるときの視点""]","[""もぞもぞと動くようす"", ""表立って華やかで、ほこらしいようす"", ""他の人よりも優れていること"", ""考えるときの視点""]","1","変更なし","晴れがましいは、華やかで、注目される状態を表します。","晴れがましいは、表立って華やかで、ほこらしい気持ちになるようすです。","例文は「晴れがましい気持ち」（ほこらしく少し照れくさい気持ち）なのに、正解選択肢「華やかで、注目される状態」は場面の説明になっており、中心的な「ほこらしさ」が欠けている。選択肢の粒度（〜ようす）もそろえる。","「晴れがましい＝派手な場面」ではなく「ほこらしい気持ち」という感情の語だと正しく学べる。","中"
"192","vocab1300_p037_001","37","meaning_context","animal_idiom_word","犬も食わない","いぬもくわない","Gemini・Fable両方・ユーザー確認候補","要修正","「犬も食わないという顔をしていました」という使い方は不自然です。（通常は「夫婦げんかは犬も食わない」などのように状況そのものを指して使います）。慣用句の自然な用法に修正する必要があります。","【sentence】いつまでもくだらない言い合いをしている二人を見て、まわりの人は「犬も食わないな」とあきれていました。

【explanation】犬も食わないは、ばかばかしくて、だれも相手にしないという意味です。

※hint、question、choices、正解選択肢は「変更なし」","要修正","usage_error,unnatural_sentence","「まわりの人は犬も食わないという顔をしていました」は慣用句の用法として不自然。「犬も食わない」は夫婦げんかなど、つまらない物事を「だれも好んで相手にしない」と述べる表現で、人の表情の形容には使わない。正解選択肢・解説自体は正しい。","【sentence】兄と妹のけんかは犬も食わないと言って、お父さんはどちらの味方もしませんでした。 【explanation】犬も食わないは、つまらないことなので、だれも好んで相手にしないという意味です。","修正確定","高","usage_error,unnatural_sentence","sentence,explanation","犬も食わない","変更なし","いぬもくわない","変更なし","小さなけんかの話を長く続けても、まわりの人は犬も食わないという顔をしていました。","いつまでもくだらない言い合いをしている二人を見て、まわりの人は「犬も食わないな」とあきれていました。","","変更なし","犬も食わない の意味はどれ？","変更なし","[""気が合うこと"", ""だれも相手にしないこと"", ""とても忙しいこと"", ""時には失敗するというたとえ""]","変更なし","1","変更なし","犬も食わないは、だれも相手にしないという意味です。","犬も食わないは、ばかばかしくて、だれも好んで相手にしないという意味です。","「犬も食わないという顔をしていました」は慣用句の用法として不自然（この表現は物事そのものについて「だれも相手にしない」と述べる言い方で、人の表情の形容には使わない）。Gemini・Fable両方が要修正と判定。Gemini案の例文を採用し、解説に「ばかばかしくて」という理由を補う。","慣用句の正しい使い方（けんかなどについて言う）をそのまま真似できる例文になる。","高"
"194","vocab1300_p037_003","37","meaning_context","animal_idiom_word","閑古鳥が鳴く","かんこどりがなく","Fableのみ","","","","改善推奨","unnatural_sentence","「閑古鳥が鳴くように静かでした」は慣用句を直喩に崩した形。誤りではないが、意味の中心は「静かさ」ではなく「客が来ずさびれていること」であり、「売店は閑古鳥が鳴いていました」とそのままの形で使う方が本来の用法を学べる。","【sentence】雨の日、公園の売店は閑古鳥が鳴いていました。","修正確定","中","unnatural_sentence,meaning_sentence_mismatch","sentence","閑古鳥が鳴く","変更なし","かんこどりがなく","変更なし","雨の日の公園の売店は、閑古鳥が鳴くように静かでした。","雨の日、公園の売店は閑古鳥が鳴いていました。","","変更なし","閑古鳥が鳴く の意味はどれ？","変更なし","[""とても忙しいこと"", ""気が合うこと"", ""相手にしないこと"", ""客がいなくてさびれているようす""]","変更なし","3","変更なし","閑古鳥が鳴くは、店などに客がいなくて、さびれているようすです。","変更なし","「閑古鳥が鳴くように静かでした」は慣用句を直喩に崩した形で、意味の中心が「静かさ」に見えてしまう。正解選択肢は「客がいなくてさびれているようす」なので、そのままの形で使い、「客が来ない」ことが中心だと伝わるようにする。","「閑古鳥が鳴く＝静か」ではなく「客が来なくてさびれている」という本来の意味で覚えられる。","中"
