優先度,ID,ページ,語句,問題種別,正解の意味,例文,指摘内容
medium,vocab1300_p012_002,12,客観的,meaning,いろいろな見方から考えること,けんかの話を聞くときは、どちらか一人の気持ちだけで決めず、客観的に考えることが大切です。,correct_meaning「いろいろな見方から考えること」は「多角的」の説明と混同されている。客観的は「自分の感情や先入観に左右されず、事実や証拠をもとに考えること」であり、「複数の視点から考えること（多角的）」とは異なる概念。このままでは二語の区別がつかなくなる恐れがある。
medium,vocab1300_p012_004,12,したたか,meaning,ねばり強く、簡単には負けないようす,相手チームに先に点を取られても、最後まであきらめず、したたかに試合を続けました。,correct_meaning「ねばり強く、簡単には負けないようす」はポジティブな側面のみを提示している。「したたか」は現代語では「ずる賢い・ぬけめない・しぶとくてやや狡猾」という否定的ニュアンスで使われることが多く、explanation欄でも「悪い意味で使われることもあります」と補足されている。correct_meaningにその両義性が示されていないため、使いどころを誤る恐れがある。
medium,vocab1300_p016_002,16,こびを売る,meaning,相手の機嫌をとること,ほめてもらうためだけに、先生にこびを売るような態度はよくありません。,「相手の機嫌をとること」は中立的すぎる。こびを売るには「必要以上にわざとらしく取り入ろうとする・おべっかを使う」という否定的なニュアンスが不可欠であり、それが正解の意味から抜けている。例文は否定的文脈で使っているが、correct_meaning単体では語の本質が伝わらない。
medium,vocab1300_p016_006,16,さしずめ,both,結局のところ、要するに,チームで一番足が速いその子は、さしずめリレーの切り札です。,correct_meaningの「結局のところ、要するに」は結論をまとめる文脈での用法に対応するが、例文「さしずめリレーの切り札です」は「いわば・～と言える」という比喩的な言い換えの用法で使われており、意味と例文のニュアンスが乖離している。さしずめの主要な用法「いわば」が意味に反映されていない。
medium,vocab1300_p017_006,17,力む,meaning,力を入れること,本番で力みすぎて、いつもより手がかたくなりました。,「力を入れること」は広すぎて中立的。力むは「必要以上に力を入れてこわばる・気負いすぎる」という特有のニュアンスを持ち、どちらかといえばマイナスの含みがある語。例文の「力みすぎて」はその面を示しているが、correct_meaningがそれを全く反映していない。
medium,vocab1300_p020_003,20,仰ぐ,meaning,上を見上げること,夜空を仰ぐと、星がたくさん見えました。,「上を見上げること」という意味のみが記載されているが、仰ぐには「師と仰ぐ（尊敬する・頼りにする）」「指示を仰ぐ（意見や命令を求める）」など日常でよく使われる重要な用法がある。一義に限定した定義では語の理解が偏る。
medium,vocab1300_p033_002,33,かさばる,meaning,量が多くなって場所を取ること,冬の上着は大きいので、ランドセルに入れるとかさばります。,「量が多くなって」は不正確。かさばるは物の量ではなく体積・かさが大きくて場所を取ることを指す。一枚の上着でもかさばり得るという例文の用例は正しいが、correct_meaningの「量が多くなって」という記述が語の本質的な意味と矛盾している。「かさ（体積）が大きくて場所を取ること」が正確。
medium,vocab1300_p025_003,25,とうとう,meaning,水などがとめどなく流れるようす,山の雪がとけて、川の水がとうとうと流れていました。,「とうとう」は「ついに・結局（finally）」という意味の方が日常語として圧倒的に一般的。「水がとめどなく流れるようす（滔滔）」は文語的な用法で、correct_meaningとして単独で提示すると子どもが混乱しやすい。「とうとう＝ついに、と同じ読みで別の意味」という補足が必要なレベル。ページの擬態語コーナーという文脈は理解できるが、correct_meaningの記述だけでは誤解を招く。
medium,vocab1300_p027_001,27,けなげ,meaning,ひたむきで一生懸命なようす,小さな子が、転んでも泣かずに走り続ける姿はけなげでした。,「ひたむきで一生懸命なようす」だけでは核心的なニュアンスが欠落している。「けなげ（健気）」の本来の意味は、幼い・弱い立場の者が困難にめげず頑張る姿を見て感じる「いじらしさ・感動・いたわり」が含まれる。見る側が感情的に動かされるという視点（いじらしい・感心する）が重要で、単なる「一生懸命」とは異なる。例文は良い。
medium,vocab1300_p033_006,33,とってつけたよう,meaning,形だけで心がこもっていないようす,とってつけたようなお礼ではなく、気持ちをこめて言いたいです。,「形だけで心がこもっていないようす」は本来の意味の一側面にすぎない。「とってつけたよう」の本義は「後から取り付けたように不自然・唐突・前後の脈絡がないようす」。「心がこもっていない」という解釈は派生的なニュアンスであり、主たる意味は「不自然にくっついた感じ・つじつまが合わない感じ」。例文もやや派生的な文脈での使用になっている。
