No.,ID,ページ,語句,読み,正解の意味,例文,解説
1,vocab1300_p003_001,3,心にくい,こころにくい,すぐれていて感心するようす,その子のスピーチは、言葉の選び方まで心にくいものでした。,心にくいは、にくらしいほどすぐれていて、感心してしまうようすです。
2,vocab1300_p003_002,3,熱を上げる,ねつをあげる,夢中になること,青ちゃんは、新しい本のシリーズに熱を上げています。,熱を上げるは、あることに夢中になるという意味です。
3,vocab1300_p003_003,3,見下す,みくだす,相手をばかにして下に見ること,できない友だちを見下すような言い方はよくありません。,見下すは、相手をばかにして、自分より下だと思うことです。
4,vocab1300_p003_004,3,反論,はんろん,相手の意見に反対して意見を言うこと,友だちの考えに納得できなかったので、理由をつけて反論しました。,反論は、相手の意見に対して、反対の意見を言うことです。
5,vocab1300_p003_005,3,均等,きんとう,同じくらいにそろっていること,おかしを三人で均等に分けました。,均等は、量や数が同じくらいにそろっていることです。
6,vocab1300_p003_006,3,ありきたり,ありきたり,よくある普通のことで新しさがないこと,作文の題名がありきたりだったので、もう少し工夫しました。,ありきたりは、よくある普通のことで、新しさがないという意味です。
7,vocab1300_p004_001,4,強制的,きょうせいてき,無理に何かをさせるようす,係を決めるとき、先生は強制的に決めず、みんなの希望を聞きました。,強制的は、相手の気持ちに関係なく、無理に何かをさせるようすです。
8,vocab1300_p004_002,4,頭ごなし,あたまごなし,話を聞かずに一方的に決めつけること,理由を聞かずに頭ごなしに叱ると、相手は悲しい気持ちになります。,頭ごなしは、相手の話を聞かずに、最初から一方的に決めつけることです。
9,vocab1300_p004_003,4,横行,おうこう,よくないことがあちこちで行われること,うそを書いたメールが横行して、みんなが困りました。,横行は、よくないことがあちこちで行われることです。
10,vocab1300_p004_004,4,手がつけられない,てがつけられない,ひどすぎてどうにもできないこと,部屋がちらかりすぎて、どこから片づければよいか手がつけられません。,手がつけられないは、ひどすぎて、どうにもできないという意味です。
11,vocab1300_p004_005,4,ありのまま,ありのまま,かざらず、そのままであること,作文には、見たことをありのままに書きました。,ありのままは、かざったり変えたりせず、そのままであることです。
12,vocab1300_p004_006,4,口実,こうじつ,言い訳や理由として使う言葉,宿題をしない口実を考えるより、少しずつ進めた方がよいです。,口実は、言い訳や、何かをするための理由として使う言葉です。
13,vocab1300_p005_001,5,妨げる,さまたげる,行うことのじゃまをすること,通路に荷物を置くと、人が歩くのを妨げてしまいます。,妨げるは、進むことや行うことのじゃまをするという意味です。
14,vocab1300_p005_002,5,仮に,かりに,本当かは別として一時的に考えること,仮に雨が降ったら、体育は体育館で行います。,仮には、本当かどうかは別として、一時的にそうだと考えるときに使います。
15,vocab1300_p005_003,5,なみなみ,なみなみ,あふれそうなくらいたっぷり入っているようす,コップに麦茶をなみなみと注ぎました。,なみなみは、液体があふれそうなくらいたっぷり入っているようすです。
16,vocab1300_p005_004,5,度重なる,たびかさなる,同じようなことが何度も続くこと,度重なる忘れ物で、先生に注意されました。,度重なるは、同じようなことが何度も続けて起こるという意味です。
17,vocab1300_p005_005,5,きつねにつままれたよう,きつねにつままれたよう,思いがけないことに驚いてぼんやりするようす,さっきまで机の上にあった消しゴムが急になくなり、きつねにつままれたような気分になりました。,きつねにつままれたようは、思いがけないことが起きて、ぼんやりするほど驚くようすです。
18,vocab1300_p005_006,5,険悪,けんあく,関係や雰囲気が悪くぴりぴりしているようす,けんかのあと、二人の間には険悪な空気が流れていました。,険悪は、関係や雰囲気が悪く、ぴりぴりしているようすです。
19,vocab1300_p006_001,6,願ったりかなったり,ねがったりかなったり,希望どおりで、とても都合がよいこと,読みたかった本を友だちが貸してくれるなんて、願ったりかなったりです。,願ったりかなったりは、自分の希望どおりになって、とても都合がよいという意味です。
20,vocab1300_p006_002,6,首をすくめる,くびをすくめる,こわさなどで首をちぢめること,大きな音がして、思わず首をすくめました。,首をすくめるは、こわさや寒さなどで、首をちぢめるようにすることです。
21,vocab1300_p006_003,6,行き当たりばったり,いきあたりばったり,きちんと計画せず、その場で行動すること,行き当たりばったりで準備をしたので、発表の日にあわてました。,行き当たりばったりは、きちんと計画せず、その場その場で行動することです。
22,vocab1300_p006_004,6,未熟,みじゅく,経験や力がまだ十分でないこと,まだ未熟ですが、ピアノの練習を毎日続けています。,未熟は、経験や力がまだ十分でないという意味です。
23,vocab1300_p006_005,6,目を輝かせる,めをかがやかせる,喜びや期待でわくわくしたようすになること,新しい図鑑を見つけて、青ちゃんは目を輝かせました。,目を輝かせるは、喜びや期待で、わくわくしたようすになることです。
24,vocab1300_p006_006,6,願ってもない,ねがってもない,思ってもいなかったほど都合がよくありがたいこと,急に休みができて、家族で出かけられるなんて願ってもない話です。,願ってもないは、思ってもいなかったほど都合がよく、ありがたいという意味です。
25,vocab1300_p007_001,7,キャリア,キャリア,仕事や技術などで積んできた経験,その先生は、長いキャリアを生かして、分かりやすく教えてくれました。,キャリアは、仕事や技術などで積んできた経験や経歴のことです。
26,vocab1300_p007_002,7,さえぎる,さえぎる,途中でじゃますること,大きな木が道をさえぎっていて、前に進めませんでした。,さえぎるは、進むものや見えるものなどを途中でじゃますることです。
27,vocab1300_p007_003,7,状況,じょうきょう,そのときの様子や状態,先生は、教室の状況を見てから、外で遊ぶか決めました。,状況は、そのときの様子や状態のことです。
28,vocab1300_p007_004,7,居心地,いごこち,その場所にいるときの気分,図書室は静かで、居心地がよい場所です。,居心地は、その場所にいるときの気分のことです。
29,vocab1300_p007_005,7,出し抜く,だしぬく,相手をだましたり先に動いたりして有利になること,友だちを出し抜くようなやり方では、あとで信じてもらえなくなります。,出し抜くは、相手をだましたり先に行動したりして、自分が有利になることです。
30,vocab1300_p007_006,7,手ぬかり,てぬかり,注意や準備が十分でないこと,発表の前に何度も確認したので、手ぬかりはありませんでした。,手ぬかりは、注意や準備が十分でないことです。
31,vocab1300_p008_001,8,うやうやしい,うやうやしい,ていねいで礼儀正しいようす,その子は、おじぎをして、うやうやしく先生にあいさつしました。,うやうやしいは、ていねいで、礼儀正しいようすです。
32,vocab1300_p008_002,8,つじつま,つじつま,話や物事の筋道,話のつじつまが合わないので、もう一度たしかめました。,つじつまは、話や物事の筋道のことです。つじつまが合うとは、話が自然につながることです。
33,vocab1300_p008_003,8,えんえん,えんえん,非常に長く続くようす,校長先生の話は、えんえんと続きました。,えんえんは、非常に長く続くようすです。
34,vocab1300_p008_004,8,仕向ける,しむける,人に働きかけて何かをさせること,先生は、みんなが自分で考えるように仕向けました。,仕向けるは、人に働きかけて、何かをさせることです。
