No.,ID,ページ,type,subtype,語句,読み,sentence,hint,question,choices,answerIndex,正解選択肢,explanation
1,vocab1300_p003_001,3,meaning_context,,心にくい,こころにくい,その子のスピーチは、言葉の選び方まで心にくいものでした。,,心にくい の意味はどれ？,"[""同じくらいに分けること"", ""夢中になること"", ""すぐれていて感心するようす"", ""よくある普通のこと""]",2,すぐれていて感心するようす,心にくいは、にくらしいほどすぐれていて、感心してしまうようすです。
2,vocab1300_p003_002,3,meaning_context,,熱を上げる,ねつをあげる,青ちゃんは、新しい本のシリーズに熱を上げています。,,熱を上げる の意味はどれ？,"[""夢中になること"", ""相手をばかにすること"", ""反対の意見を言うこと"", ""普通で新しさがないこと""]",0,夢中になること,熱を上げるは、あることに夢中になるという意味です。
3,vocab1300_p003_003,3,meaning_context,,見下す,みくだす,できない友だちを見下すような言い方はよくありません。,,見下す の意味はどれ？,"[""同じくらいにすること"", ""夢中になること"", ""相手をばかにして下に見ること"", ""反対の意見を言うこと""]",2,相手をばかにして下に見ること,見下すは、相手をばかにして、自分より下だと思うことです。
4,vocab1300_p003_004,3,meaning_context,,反論,はんろん,友だちの考えに納得できなかったので、理由をつけて反論しました。,,反論 の意味はどれ？,"[""相手の意見に反対して意見を言うこと"", ""よくある普通のこと"", ""感心してしまうようす"", ""同じくらいに分けること""]",0,相手の意見に反対して意見を言うこと,反論は、相手の意見に対して、反対の意見を言うことです。
5,vocab1300_p003_005,3,meaning_context,,均等,きんとう,おかしを三人で均等に分けました。,,均等 の意味はどれ？,"[""相手をばかにすること"", ""夢中になること"", ""反対の意見を言うこと"", ""同じくらいにそろっていること""]",3,同じくらいにそろっていること,均等は、量や数が同じくらいにそろっていることです。
6,vocab1300_p003_006,3,meaning_context,,ありきたり,ありきたり,作文の題名がありきたりだったので、もう少し工夫しました。,,ありきたり の意味はどれ？,"[""にくらしいほどすぐれていること"", ""よくある普通のことで新しさがないこと"", ""相手に反対すること"", ""同じくらいに分けること""]",1,よくある普通のことで新しさがないこと,ありきたりは、よくある普通のことで、新しさがないという意味です。
7,vocab1300_p004_001,4,meaning_context,,強制的,きょうせいてき,係を決めるとき、先生は強制的に決めず、みんなの希望を聞きました。,,強制的 の意味はどれ？,"[""相手の話を聞かずに決めること"", ""無理に何かをさせるようす"", ""そのままのようす"", ""よくないことが広がること""]",1,無理に何かをさせるようす,強制的は、相手の気持ちに関係なく、無理に何かをさせるようすです。
8,vocab1300_p004_002,4,meaning_context,,頭ごなし,あたまごなし,理由を聞かずに頭ごなしに叱ると、相手は悲しい気持ちになります。,,頭ごなし の意味はどれ？,"[""言い訳に使う言葉"", ""そのままのようす"", ""ひどすぎてどうにもできないこと"", ""話を聞かずに一方的に決めつけること""]",3,話を聞かずに一方的に決めつけること,頭ごなしは、相手の話を聞かずに、最初から一方的に決めつけることです。
9,vocab1300_p004_003,4,meaning_context,,横行,おうこう,うそを書いたメールが横行して、みんなが困りました。,,横行 の意味はどれ？,"[""よくないことがあちこちで行われること"", ""無理に何かをさせること"", ""相手の話を聞かないこと"", ""言い訳として使うこと""]",0,よくないことがあちこちで行われること,横行は、よくないことがあちこちで行われることです。
10,vocab1300_p004_004,4,meaning_context,,手がつけられない,てがつけられない,部屋がちらかりすぎて、どこから片づければよいか手がつけられません。,,手がつけられない の意味はどれ？,"[""そのままのようす"", ""言い訳に使うこと"", ""ひどすぎてどうにもできないこと"", ""よくないことが広がること""]",2,ひどすぎてどうにもできないこと,手がつけられないは、ひどすぎて、どうにもできないという意味です。
11,vocab1300_p004_005,4,meaning_context,,ありのまま,ありのまま,作文には、見たことをありのままに書きました。,,ありのまま の意味はどれ？,"[""無理にさせること"", ""一方的に決めつけること"", ""よくないことが広がること"", ""かざらず、そのままであること""]",3,かざらず、そのままであること,ありのままは、かざったり変えたりせず、そのままであることです。
12,vocab1300_p004_006,4,meaning_context,,口実,こうじつ,宿題をしない口実を考えるより、少しずつ進めた方がよいです。,,口実 の意味はどれ？,"[""言い訳や理由として使う言葉"", ""そのままのようす"", ""ひどすぎる状態"", ""あちこちで悪いことが起こること""]",0,言い訳や理由として使う言葉,口実は、言い訳や、何かをするための理由として使う言葉です。
13,vocab1300_p005_001,5,meaning_context,,妨げる,さまたげる,通路に荷物を置くと、人が歩くのを妨げてしまいます。,,妨げる の意味はどれ？,"[""一時的に考えること"", ""行うことのじゃまをすること"", ""何度も続けて起こること"", ""雰囲気が悪くなること""]",1,行うことのじゃまをすること,妨げるは、進むことや行うことのじゃまをするという意味です。
14,vocab1300_p005_002,5,meaning_context,,仮に,かりに,仮に雨が降ったら、体育は体育館で行います。,,仮に の意味はどれ？,"[""たっぷり入っているようす"", ""関係が悪いようす"", ""本当かは別として一時的に考えること"", ""じゃまをすること""]",2,本当かは別として一時的に考えること,仮には、本当かどうかは別として、一時的にそうだと考えるときに使います。
15,vocab1300_p005_003,5,meaning_context,,なみなみ,なみなみ,コップに麦茶をなみなみと注ぎました。,,なみなみ の意味はどれ？,"[""何度も続けて起こること"", ""あふれそうなくらいたっぷり入っているようす"", ""一時的に考えること"", ""ぴりぴりした雰囲気""]",1,あふれそうなくらいたっぷり入っているようす,なみなみは、液体があふれそうなくらいたっぷり入っているようすです。
16,vocab1300_p005_004,5,meaning_context,,度重なる,たびかさなる,度重なる忘れ物で、先生に注意されました。,,度重なる の意味はどれ？,"[""同じようなことが何度も続くこと"", ""あふれそうに入っていること"", ""進むのをじゃますること"", ""思いがけず驚くこと""]",0,同じようなことが何度も続くこと,度重なるは、同じようなことが何度も続けて起こるという意味です。
17,vocab1300_p005_005,5,meaning_context,,きつねにつままれたよう,きつねにつままれたよう,さっきまで机の上にあった消しゴムが急になくなり、きつねにつままれたような気分になりました。,,きつねにつままれたよう の意味はどれ？,"[""関係が悪くなるようす"", ""何度も続いて起こるようす"", ""進むことをじゃまするようす"", ""思いがけないことに驚いてぼんやりするようす""]",3,思いがけないことに驚いてぼんやりするようす,きつねにつままれたようは、思いがけないことが起きて、ぼんやりするほど驚くようすです。
18,vocab1300_p005_006,5,meaning_context,,険悪,けんあく,けんかのあと、二人の間には険悪な空気が流れていました。,,険悪 の意味はどれ？,"[""一時的に考えること"", ""じゃまをすること"", ""関係や雰囲気が悪くぴりぴりしているようす"", ""あふれそうなくらい入っているようす""]",2,関係や雰囲気が悪くぴりぴりしているようす,険悪は、関係や雰囲気が悪く、ぴりぴりしているようすです。
19,vocab1300_p006_001,6,meaning_context,,願ったりかなったり,ねがったりかなったり,読みたかった本を友だちが貸してくれるなんて、願ったりかなったりです。,,願ったりかなったり の意味はどれ？,"[""こわくて体を小さくすること"", ""希望どおりで、とても都合がよいこと"", ""計画せずに行動すること"", ""まだ力が十分でないこと""]",1,希望どおりで、とても都合がよいこと,願ったりかなったりは、自分の希望どおりになって、とても都合がよいという意味です。
20,vocab1300_p006_002,6,meaning_context,,首をすくめる,くびをすくめる,大きな音がして、思わず首をすくめました。,,首をすくめる の意味はどれ？,"[""喜びでわくわくすること"", ""希望どおりになること"", ""こわさなどで首をちぢめること"", ""経験がまだ十分でないこと""]",2,こわさなどで首をちぢめること,首をすくめるは、こわさや寒さなどで、首をちぢめるようにすることです。
21,vocab1300_p006_003,6,meaning_context,,行き当たりばったり,いきあたりばったり,行き当たりばったりで準備をしたので、発表の日にあわてました。,,行き当たりばったり の意味はどれ？,"[""経験が少なく、まだ十分でないこと"", ""きちんと計画せず、その場で行動すること"", ""思いがけずありがたいこと"", ""期待して目を輝かせること""]",1,きちんと計画せず、その場で行動すること,行き当たりばったりは、きちんと計画せず、その場その場で行動することです。
22,vocab1300_p006_004,6,meaning_context,,未熟,みじゅく,まだ未熟ですが、ピアノの練習を毎日続けています。,,未熟 の意味はどれ？,"[""思ってもいないほどありがたいこと"", ""こわくて首をちぢめること"", ""喜んでわくわくすること"", ""経験や力がまだ十分でないこと""]",3,経験や力がまだ十分でないこと,未熟は、経験や力がまだ十分でないという意味です。
23,vocab1300_p006_005,6,meaning_context,,目を輝かせる,めをかがやかせる,新しい図鑑を見つけて、青ちゃんは目を輝かせました。,,目を輝かせる の意味はどれ？,"[""計画せずに進めること"", ""希望どおりになること"", ""喜びや期待でわくわくしたようすになること"", ""まだ力が十分でないこと""]",2,喜びや期待でわくわくしたようすになること,目を輝かせるは、喜びや期待で、わくわくしたようすになることです。
24,vocab1300_p006_006,6,meaning_context,,願ってもない,ねがってもない,急に休みができて、家族で出かけられるなんて願ってもない話です。,,願ってもない の意味はどれ？,"[""こわくて小さくなること"", ""思ってもいなかったほど都合がよくありがたいこと"", ""経験がまだ足りないこと"", ""計画を立てずに動くこと""]",1,思ってもいなかったほど都合がよくありがたいこと,願ってもないは、思ってもいなかったほど都合がよく、ありがたいという意味です。
